feature,coef,abs_coef,group,rank_in_group,stage_id
PP产量__mean,-30.946530606720778,30.946530606720778,PP产量,1.0,1
PP产量__min,-30.946530606720778,30.946530606720778,PP产量,2.0,1
PP产量__max,-30.946530606720778,30.946530606720778,PP产量,3.0,1
PP产量__last,-30.946530606720778,30.946530606720778,PP产量,4.0,1
PP产量__range,0.0,0.0,PP产量,5.0,1
PP石化库存__mean,35.22419447774195,35.22419447774195,PP石化库存,1.0,1
PP石化库存__min,31.20774840190059,31.20774840190059,PP石化库存,2.0,1
PP石化库存__max,24.490515701605744,24.490515701605744,PP石化库存,3.0,1
PP石化库存__last,17.058824674667505,17.058824674667505,PP石化库存,4.0,1
PP石化库存__range,-5.9596842282551075,5.9596842282551075,PP石化库存,5.0,1
PP进口量__mean,17.996368282465454,17.996368282465454,PP进口量,1.0,1
PP进口量__min,17.996368282465454,17.996368282465454,PP进口量,2.0,1
PP进口量__max,17.996368282465454,17.996368282465454,PP进口量,3.0,1
PP进口量__last,17.996368282465454,17.996368282465454,PP进口量,4.0,1
PP进口量__range,0.0,0.0,PP进口量,5.0,1
丙烯成本__mean,34.78968682633089,34.78968682633089,丙烯成本,1.0,1
丙烯成本__max,30.799384066182,30.799384066182,丙烯成本,2.0,1
丙烯成本__min,30.330274879910583,30.330274879910583,丙烯成本,3.0,1
丙烯成本__last,28.4684603841299,28.4684603841299,丙烯成本,4.0,1
丙烯成本__range,-17.842447209057156,17.842447209057156,丙烯成本,5.0,1
乙烯成本__range,28.680243300293178,28.680243300293178,乙烯成本,1.0,1
乙烯成本__last,25.60422599929327,25.60422599929327,乙烯成本,2.0,1
乙烯成本__max,22.704566649678995,22.704566649678995,乙烯成本,3.0,1
乙烯成本__mean,10.778914932827686,10.778914932827686,乙烯成本,4.0,1
乙烯成本__min,-3.0803160225394475,3.0803160225394475,乙烯成本,5.0,1
排产比例__max,-29.481654636262448,29.481654636262448,排产比例,1.0,1
排产比例__range,-25.979097548488255,25.979097548488255,排产比例,2.0,1
排产比例__mean,-21.68395521891372,21.68395521891372,排产比例,3.0,1
排产比例__min,-6.8278929321007995,6.8278929321007995,排产比例,4.0,1
排产比例__last,-3.42758291567577,3.42758291567577,排产比例,5.0,1
CTO成本__min,29.755372058765804,29.755372058765804,CTO成本,1.0,2
CTO成本__last,29.755372058765804,29.755372058765804,CTO成本,2.0,2
CTO成本__mean,27.88134938844679,27.88134938844679,CTO成本,3.0,2
CTO成本__max,22.674521519157466,22.674521519157466,CTO成本,4.0,2
CTO成本__range,-9.103045247492199,9.103045247492199,CTO成本,5.0,2
PP开工率__max,-32.18597428603183,32.18597428603183,PP开工率,1.0,2
PP开工率__mean,-27.664716971144998,27.664716971144998,PP开工率,2.0,2
PP开工率__min,-14.906598439891388,14.906598439891388,PP开工率,3.0,2
PP开工率__last,-10.446430310512003,10.446430310512003,PP开工率,4.0,2
PP开工率__range,-0.4718418887452589,0.4718418887452589,PP开工率,5.0,2
丙烯成本__max,31.170901010528546,31.170901010528546,丙烯成本,1.0,2
丙烯成本__mean,29.760526231828905,29.760526231828905,丙烯成本,2.0,2
丙烯成本__min,19.28492571713634,19.28492571713634,丙烯成本,3.0,2
丙烯成本__range,15.293337079230499,15.293337079230499,丙烯成本,4.0,2
丙烯成本__last,14.044197673287897,14.044197673287897,丙烯成本,5.0,2
乙烯成本__last,19.697909341878994,19.697909341878994,乙烯成本,1.0,2
乙烯成本__max,11.673820604562183,11.673820604562183,乙烯成本,2.0,2
乙烯成本__range,10.483371793239908,10.483371793239908,乙烯成本,3.0,2
乙烯成本__mean,9.779126648746159,9.779126648746159,乙烯成本,4.0,2
乙烯成本__min,6.096652793688492,6.096652793688492,乙烯成本,5.0,2
塑编开工率__mean,-32.122194278571556,32.122194278571556,塑编开工率,1.0,2
塑编开工率__max,-31.429374051398014,31.429374051398014,塑编开工率,2.0,2
塑编开工率__min,-25.50550831505393,25.50550831505393,塑编开工率,3.0,2
塑编开工率__last,-20.167612208004243,20.167612208004243,塑编开工率,4.0,2
塑编开工率__range,2.4158703486510174,2.4158703486510174,塑编开工率,5.0,2
排产比例__mean,-27.455785694137937,27.455785694137937,排产比例,1.0,2
排产比例__last,18.911597951639045,18.911597951639045,排产比例,2.0,2
排产比例__min,-18.53857684723565,18.53857684723565,排产比例,3.0,2
排产比例__range,13.25903892168894,13.25903892168894,排产比例,4.0,2
排产比例__max,-9.271684828895657,9.271684828895657,排产比例,5.0,2
CTO成本__range,100.91817455326674,100.91817455326674,CTO成本,1.0,3
CTO成本__last,38.141138089951895,38.141138089951895,CTO成本,2.0,3
CTO成本__max,37.74984887070224,37.74984887070224,CTO成本,3.0,3
CTO成本__mean,29.084035500178242,29.084035500178242,CTO成本,4.0,3
CTO成本__min,21.447382459403045,21.447382459403045,CTO成本,5.0,3
PP产量__mean,38.98601884109078,38.98601884109078,PP产量,1.0,3
PP产量__min,38.98601884109078,38.98601884109078,PP产量,2.0,3
PP产量__max,38.98601884109078,38.98601884109078,PP产量,3.0,3
PP产量__last,38.98601884109078,38.98601884109078,PP产量,4.0,3
PP产量__range,0.0,0.0,PP产量,5.0,3
PP石化库存__max,-92.80241106919678,92.80241106919678,PP石化库存,1.0,3
PP石化库存__mean,-92.56467019857813,92.56467019857813,PP石化库存,2.0,3
PP石化库存__range,-81.3530176819221,81.3530176819221,PP石化库存,3.0,3
PP石化库存__min,-49.65638628628517,49.65638628628517,PP石化库存,4.0,3
PP石化库存__last,-38.117103542612725,38.117103542612725,PP石化库存,5.0,3
乙烯成本__range,-110.25899722587576,110.25899722587576,乙烯成本,1.0,3
乙烯成本__min,62.42484535032065,62.42484535032065,乙烯成本,2.0,3
乙烯成本__mean,37.08481438473604,37.08481438473604,乙烯成本,3.0,3
乙烯成本__max,30.923065247186234,30.923065247186234,乙烯成本,4.0,3
乙烯成本__last,-3.655528103187944,3.655528103187944,乙烯成本,5.0,3
塑编开工率__last,-50.089616470679616,50.089616470679616,塑编开工率,1.0,3
塑编开工率__max,37.32308566870212,37.32308566870212,塑编开工率,2.0,3
塑编开工率__range,27.792420095033698,27.792420095033698,塑编开工率,3.0,3
塑编开工率__mean,-18.752049431769002,18.752049431769002,塑编开工率,4.0,3
塑编开工率__min,-13.722073473926734,13.722073473926734,塑编开工率,5.0,3
排产比例__last,72.10697783676052,72.10697783676052,排产比例,1.0,3
排产比例__mean,-41.088912237119935,41.088912237119935,排产比例,2.0,3
排产比例__min,-24.941088538174412,24.941088538174412,排产比例,3.0,3
排产比例__max,-16.180133733829372,16.180133733829372,排产比例,4.0,3
排产比例__range,-0.3109153334783574,0.3109153334783574,排产比例,5.0,3
CTO成本__range,-73.07780255026144,73.07780255026144,CTO成本,1.0,4
CTO成本__last,-37.55517872353111,37.55517872353111,CTO成本,2.0,4
CTO成本__min,25.77251737487827,25.77251737487827,CTO成本,3.0,4
CTO成本__max,-23.259897719682943,23.259897719682943,CTO成本,4.0,4
CTO成本__mean,-5.711859234228622,5.711859234228622,CTO成本,5.0,4
PP石化库存__last,-129.42249126221083,129.42249126221083,PP石化库存,1.0,4
PP石化库存__min,-37.906621388701595,37.906621388701595,PP石化库存,2.0,4
PP石化库存__range,23.936844269658987,23.936844269658987,PP石化库存,3.0,4
PP石化库存__max,-12.888627158939533,12.888627158939533,PP石化库存,4.0,4
PP石化库存__mean,-8.521239465662429,8.521239465662429,PP石化库存,5.0,4
丙烯成本__range,78.47464426140277,78.47464426140277,丙烯成本,1.0,4
丙烯成本__last,29.7660852756693,29.7660852756693,丙烯成本,2.0,4
丙烯成本__max,28.89475451908887,28.89475451908887,丙烯成本,3.0,4
丙烯成本__min,12.806806220310968,12.806806220310968,丙烯成本,4.0,4
丙烯成本__mean,9.528082722386612,9.528082722386612,丙烯成本,5.0,4
乙烯成本__last,59.868923117710146,59.868923117710146,乙烯成本,1.0,4
乙烯成本__max,53.20865614050058,53.20865614050058,乙烯成本,2.0,4
乙烯成本__mean,51.83109271566438,51.83109271566438,乙烯成本,3.0,4
乙烯成本__min,51.75449436389374,51.75449436389374,乙烯成本,4.0,4
乙烯成本__range,31.449784094967008,31.449784094967008,乙烯成本,5.0,4
塑编开工率__max,-108.78891621355027,108.78891621355027,塑编开工率,1.0,4
塑编开工率__range,-59.70442925231386,59.70442925231386,塑编开工率,2.0,4
塑编开工率__mean,-28.730381914286376,28.730381914286376,塑编开工率,3.0,4
塑编开工率__last,-20.746707687669268,20.746707687669268,塑编开工率,4.0,4
塑编开工率__min,16.53706083459304,16.53706083459304,塑编开工率,5.0,4
排产比例__last,-47.81463069948295,47.81463069948295,排产比例,1.0,4
排产比例__max,-45.25957293635498,45.25957293635498,排产比例,2.0,4
排产比例__mean,41.51992177171689,41.51992177171689,排产比例,3.0,4
排产比例__range,-32.87765336314779,32.87765336314779,排产比例,4.0,4
排产比例__min,-3.810474760718059,3.810474760718059,排产比例,5.0,4
CTO成本__last,-34.8243662027464,34.8243662027464,CTO成本,1.0,5
CTO成本__max,19.70602739495454,19.70602739495454,CTO成本,2.0,5
CTO成本__range,16.074759791035405,16.074759791035405,CTO成本,3.0,5
CTO成本__min,11.668913525375137,11.668913525375137,CTO成本,4.0,5
CTO成本__mean,8.520708749545854,8.520708749545854,CTO成本,5.0,5
MTO成本__mean,40.12637889916631,40.12637889916631,MTO成本,1.0,5
MTO成本__min,29.0630991680048,29.0630991680048,MTO成本,2.0,5
MTO成本__max,29.03428149991639,29.03428149991639,MTO成本,3.0,5
MTO成本__range,14.357164635710454,14.357164635710454,MTO成本,4.0,5
MTO成本__last,-0.8065715603388952,0.8065715603388952,MTO成本,5.0,5
PDH成本__range,-41.1796384941873,41.1796384941873,PDH成本,1.0,5
PDH成本__last,19.698431576399706,19.698431576399706,PDH成本,2.0,5
PDH成本__max,-17.951237013113815,17.951237013113815,PDH成本,3.0,5
PDH成本__mean,-16.933000850932636,16.933000850932636,PDH成本,4.0,5
PDH成本__min,3.9638043451942124,3.9638043451942124,PDH成本,5.0,5
丙烯成本__min,60.924413780434485,60.924413780434485,丙烯成本,1.0,5
丙烯成本__mean,45.65604746008175,45.65604746008175,丙烯成本,2.0,5
丙烯成本__max,36.118077084937866,36.118077084937866,丙烯成本,3.0,5
丙烯成本__last,25.51527389582908,25.51527389582908,丙烯成本,4.0,5
丙烯成本__range,-14.50651222342874,14.50651222342874,丙烯成本,5.0,5
乙烯成本__mean,-39.79565493655949,39.79565493655949,乙烯成本,1.0,5
乙烯成本__max,-36.60806320454234,36.60806320454234,乙烯成本,2.0,5
乙烯成本__min,-26.92458293312505,26.92458293312505,乙烯成本,3.0,5
乙烯成本__range,-10.12315763249665,10.12315763249665,乙烯成本,4.0,5
乙烯成本__last,7.019447995588683,7.019447995588683,乙烯成本,5.0,5
塑编开工率__range,-29.73362299503962,29.73362299503962,塑编开工率,1.0,5
塑编开工率__min,24.85849890643297,24.85849890643297,塑编开工率,2.0,5
塑编开工率__last,19.694499494259396,19.694499494259396,塑编开工率,3.0,5
塑编开工率__mean,18.850199524892382,18.850199524892382,塑编开工率,4.0,5
塑编开工率__max,-1.481520838488862,1.481520838488862,塑编开工率,5.0,5
PDH成本__mean,40.109911147098934,40.109911147098934,PDH成本,1.0,6
PDH成本__min,36.6051215657079,36.6051215657079,PDH成本,2.0,6
PDH成本__max,34.121264868773,34.121264868773,PDH成本,3.0,6
PDH成本__range,6.591158642637829,6.591158642637829,PDH成本,4.0,6
PDH成本__last,-4.455469730145595,4.455469730145595,PDH成本,5.0,6
PP开工率__range,37.42625393568883,37.42625393568883,PP开工率,1.0,6
PP开工率__min,-34.4866714327142,34.4866714327142,PP开工率,2.0,6
PP开工率__mean,-26.8622644941849,26.8622644941849,PP开工率,3.0,6
PP开工率__last,3.942713195563013,3.942713195563013,PP开工率,4.0,6
PP开工率__max,0.2565926850452351,0.2565926850452351,PP开工率,5.0,6
PP石化库存__range,63.47020735263984,63.47020735263984,PP石化库存,1.0,6
PP石化库存__last,-33.43391440997231,33.43391440997231,PP石化库存,2.0,6
PP石化库存__max,27.488415955848936,27.488415955848936,PP石化库存,3.0,6
PP石化库存__min,-21.420498693510517,21.420498693510517,PP石化库存,4.0,6
PP石化库存__mean,10.356703946651516,10.356703946651516,PP石化库存,5.0,6
乙烯成本__range,22.079289740709033,22.079289740709033,乙烯成本,1.0,6
乙烯成本__max,15.643366373955926,15.643366373955926,乙烯成本,2.0,6
乙烯成本__mean,13.309524042376225,13.309524042376225,乙烯成本,3.0,6
乙烯成本__min,8.075809502046374,8.075809502046374,乙烯成本,4.0,6
乙烯成本__last,7.4505500964309705,7.4505500964309705,乙烯成本,5.0,6
排产比例__max,52.45301057032679,52.45301057032679,排产比例,1.0,6
排产比例__mean,41.27115657560525,41.27115657560525,排产比例,2.0,6
排产比例__range,34.830093695751664,34.830093695751664,排产比例,3.0,6
排产比例__last,-15.928623680104915,15.928623680104915,排产比例,4.0,6
